Import,github.com/tjs.cissp/020823.dj.bbo.shortcuts.txt
Option,dlscott
Shortcut,LB2C2D,!Hs\n
Shortcut,LB2C2H,!Ss\n
Shortcut,LB2C2S,HCP ask or !Cs\n
Shortcut,LB2C2N,Asks partner to Bid 3!C\n
Shortcut,LB2dDB,Stolen Bid !Hs\n
Shortcut,LB2d2H,8+ HCP Takeout with 4!Ss\n
Shortcut,LB2d2S,To play Not Forcing\n
Shortcut,LB2d2N,Asks partner to Bid 3!C\n
Shortcut,LB2HDB,Stolen Bid\n
Shortcut,LB2H2S,Takeout Double with 8+ HCP and 4!Ss\n
Shortcut,LB2H2N,Asks partner to Bid 3!C\n
Shortcut,LB2X3Y,Forcing Bid\n
Shortcut,LB2X3N,12+ HCP No Stopper\n
Shortcut,LB2X3X,12+ HCP + Stopper\n
Shortcut,****, 
Shortcut,2CLUB,Strong Hand 21+ HCP or less than 4 losers\n
Shortcut,2C2D,Waiting\n
Shortcut,2C2H,5+ !Hs with 2 Honors\n
Shortcut,2C2S,5+ !Ss with 2 Honors\n
Shortcut,2C2N,3 Controls 1 Ace 1 King or 3 Kings\n
Shortcut,2C3C,4+ Controls 2 Aces or 1 Ace and 2+ Kings\n
Shortcut,Bust,Bust hand  Place Contract\n
Shortcut,****, 
Shortcut,2D2H,!H asking bid 3!D=minimum hand 0-1!H 2!S=!H Honor 2N=3!H 3!C=3+!Hs with a !H Honor\n
Shortcut,2D2S,!S asking bid 3!D=minimum hand 0-1!S 2N=!S Honor 3C=2+!S with a !S Honor \n
Shortcut,2D2N,Forcing Asking for feature\n
Shortcut,2D3C,!Cs Non Forcing\n
Shortcut,2D3D,!D Competitive raise\n
Shortcut,****, 
Shortcut,2H2S,Spade asking bid 3!H=minimum hand 0-1!S 2N=!S Honor 3C=3!Ss 3D=3!Ss with a !S Honor\n
Shortcut,2H2N,Forcing Asking for feature\n
Shortcut,2H3C,!Cs Non Forcing\n
Shortcut,2H3D,!DS Non Forcing\n
Shortcut,2H3H,!H Competitive raise\n
Shortcut,****, 
Shortcut,2S2N,Forcing feature asking bid\n
Shortcut,2D3C,Long !Cs non Forcing\n
Shortcut,2S3D,Long !Ds Non Forcing\n
Shortcut,2S3H,Long !Hs Mpn Forcing\n
Shortcut,2S3S,!S Competitive raise\n
Shortcut,****, 
Shortcut,Puppet,Asking for 5 Card Major\n
Shortcut,2N3C3D,Have a 4-Card Major\n
Shortcut,2N3C3H,5+ !Hs\n
Shortcut,2N3C3S,5+ !Ss\n
Shortcut,2N3C3N,No 4-Card Major\n
Shortcut,2N3D,!Hs\n
Shortcut,2N3H,!Ss\n
Shortcut,2N4D,!Hs\n
Shortcut,2N4H,!Ss\n
Shortcut,2N3S,Relay to 3NT\n
Shortcut,2N3S3N4C,!D Slam Try\n
Shortcut,2N3S3N4D,!C Slam Try\n
Shortcut,2N3CXX4C,Long !Cs not forcing\n
Shortcut,2N3CXX4D,Long !Ds not forcing\n
